BERTEC_ForceData
HEADER_LENGTH,1
N_OF_SAMPLES,25206
DATA_STARTS
Time (s),AUX,SYNC,1:FX,1:FY,1:FZ,1:MX,1:MY,1:MZ,1:COPX,1:COPY,1:COGX,1:COGY,1:SWAYANGLE,2:FX,2:FY,2:FZ,2:MX,2:MY,2:MZ,2:COPX,2:COPY,2:COGX,2:COGY,2:SWAYANGLE
8424.788,0,255,0.914107,-4.1449,574.313,490.498,175.349,1.07362,-0.305319,0.85406,-0.310397,0.861252,0,-0.148651,0.00494385,-0.120605,-0.0380859,-0.000915527,0.228394,0,0,0,0,0
8424.789,0,255,0.914107,-3.83972,573.703,489.765,175.227,0.829477,-0.305431,0.853692,-0.310394,0.861243,0,0.00393677,0.157532,-0.120605,-0.282227,-0.000915527,0.228394,0,0,0,0,0
8424.790,0,255,0.914107,-3.68713,573.397,489.521,175.105,0.951548,-0.305381,0.85372,-0.310391,0.861233,0,0.00393677,0.31012,-0.120605,-0.282227,-0.000915527,0.228394,0,0,0,0,0
8424.791,0,255,1.0667,-3.68713,573.703,489.521,175.105,0.829477,-0.305218,0.853266,-0.310388,0.861223,0,0.156525,0.157532,-0.120605,-0.282227,-0.000915527,0.106323,0,0,0,0,0
8424.792,0,255,1.21928,-3.99231,574.008,490.253,175.227,0.585335,-0.305269,0.854088,-0.310384,0.861213,0,0.156525,0.00494385,0.18457,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.793,0,255,1.52446,-4.45008,574.618,490.986,175.471,0.585335,-0.305369,0.854456,-0.31038,0.861203,0,0.00393677,0.00494385,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.794,0,255,1.67705,-4.90784,574.923,490.986,175.471,0.585335,-0.305207,0.854002,-0.310377,0.861192,0,0.00393677,0.157532,0.18457,0.206055,-0.122986,0.106323,0,0,0,0,0
8424.795,0,255,1.67705,-5.21302,574.618,490.498,175.349,0.707406,-0.305157,0.853606,-0.310373,0.861182,0,0.00393677,0.31012,0.489746,0.450195,-0.122986,0.106323,0,0,0,0,0
8424.796,0,255,1.82964,-5.21302,573.703,489.765,175.105,0.585335,-0.305218,0.853692,-0.310369,0.861171,0,-0.148651,0.157532,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.797,0,255,1.82964,-5.06043,573.092,489.033,174.983,0.707406,-0.30533,0.853323,-0.310365,0.861161,0,0.00393677,0.157532,-0.120605,-0.282227,-0.000915527,0.106323,0,0,0,0,0
8424.798,0,255,1.67705,-4.75525,572.787,488.544,174.86,0.707406,-0.30528,0.852925,-0.31036,0.86115,0,0.00393677,0.157532,-0.425781,-0.526367,0.121155,0.106323,0,0,0,0,0
8424.799,0,255,1.52446,-4.29749,572.177,488.544,174.616,0.585335,-0.305179,0.853835,-0.310356,0.861139,0,0.00393677,0.00494385,-0.425781,-0.282227,0.121155,0.106323,0,0,0,0,0
8424.800,0,255,1.37187,-3.83972,571.872,488.3,174.372,0.463264,-0.304915,0.853864,-0.310351,0.861128,0,0.00393677,-0.147644,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.801,0,255,1.52446,-3.22937,571.872,488.544,174.494,0.341194,-0.305128,0.85429,-0.310347,0.861117,0,0.00393677,0.00494385,-0.120605,-0.0380859,-0.122986,0.106323,0,0,0,0,0
8424.802,0,255,1.52446,-2.92419,572.482,489.277,174.616,0.219123,-0.305016,0.854659,-0.310342,0.861105,0,0.00393677,0.00494385,-0.120605,-0.0380859,-0.122986,0.106323,0,0,0,0,0
8424.803,0,255,1.67705,-2.92419,573.092,490.009,174.86,-0.0250187,-0.305117,0.855027,-0.310337,0.861094,0,-0.148651,0.00494385,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.804,0,255,1.82964,-3.22937,573.092,489.765,174.86,-0.147089,-0.305117,0.854601,-0.310332,0.861082,0,0.00393677,0.157532,-0.120605,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.805,0,255,1.82964,-3.38196,572.177,488.789,174.616,-0.0250187,-0.305179,0.854262,-0.310327,0.861071,0,0.156525,0.157532,-0.120605,0.206055,0.121155,-0.137817,0,0,0,0,0
8424.806,0,255,1.98223,-3.38196,571.261,487.568,174.372,-0.0250187,-0.305241,0.853494,-0.310322,0.861059,0,0.156525,0.00494385,-0.425781,-0.282227,0.121155,-0.259918,0,0,0,0,0
8424.807,0,255,1.98223,-3.53455,570.346,486.347,174.006,-0.0250187,-0.305089,0.852723,-0.310317,0.861047,0,0.156525,0.157532,-0.425781,-0.526367,0.121155,-0.137817,0,0,0,0,0
8424.808,0,255,1.98223,-3.83972,569.43,485.859,173.762,-0.0250187,-0.30515,0.853237,-0.310312,0.861035,0,0.156525,0.157532,-0.120605,-0.0380859,-0.000915527,-0.137817,0,0,0,0,0
8424.809,0,255,1.98223,-4.1449,569.43,486.347,173.762,-0.147089,-0.30515,0.854095,-0.310306,0.861023,0,0.00393677,0.00494385,-0.120605,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.810,0,255,1.98223,-4.1449,569.43,486.835,173.762,-0.147089,-0.30515,0.854952,-0.310301,0.861011,0,0.00393677,0.157532,-0.120605,-0.0380859,-0.122986,0.228394,0,0,0,0,0
8424.811,0,255,2.13482,-3.99231,569.735,487.568,173.884,-0.147089,-0.305201,0.85578,-0.310295,0.860998,0,0.00393677,0.157532,0.18457,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.812,0,255,2.2874,-3.68713,570.346,488.3,174.006,-0.269161,-0.305089,0.856148,-0.310289,0.860986,0,0.00393677,0.00494385,0.18457,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.813,0,255,2.13482,-3.22937,570.346,488.056,174.006,-0.269161,-0.305089,0.85572,-0.310283,0.860973,0,0.00393677,0.00494385,0.18457,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.814,0,255,2.13482,-2.7716,569.43,486.835,173.64,-0.391231,-0.304936,0.854952,-0.310277,0.860961,0,0.00393677,-0.147644,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.815,0,255,1.98223,-2.61901,568.515,485.371,173.274,-0.391231,-0.304783,0.853752,-0.310271,0.860948,0,0.156525,0.00494385,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.816,0,255,1.98223,-2.92419,567.599,484.394,173.151,-0.269161,-0.305059,0.853409,-0.310265,0.860936,0,0.156525,0.00494385,0.18457,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.817,0,255,1.98223,-3.53455,567.599,484.638,173.274,-0.0250187,-0.305275,0.853839,-0.310259,0.860923,0,0.00393677,0.157532,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.818,0,255,2.13482,-4.29749,568.209,485.859,173.518,0.219123,-0.305376,0.85507,-0.310252,0.86091,0,0.00393677,0.157532,0.18457,0.206055,-0.122986,0.106323,0,0,0,0,0
8424.819,0,255,2.2874,-5.06043,568.515,486.835,173.518,0.341194,-0.305212,0.856329,-0.310246,0.860897,0,0.00393677,0.157532,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.820,0,255,2.2874,-5.36561,568.82,487.324,173.518,0.341194,-0.305049,0.856728,-0.310239,0.860884,0,0.00393677,0.00494385,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.821,0,255,2.43999,-4.90784,568.515,486.835,173.274,0.0970521,-0.304783,0.856329,-0.310232,0.860871,0,0.00393677,0.157532,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.822,0,255,2.59258,-3.99231,567.904,485.859,173.151,-0.269161,-0.304896,0.855529,-0.310226,0.860858,0,0.00393677,0.00494385,-0.120605,0.206055,-0.000915527,-0.137817,0,0,0,0,0
8424.823,0,255,2.74517,-3.07678,567.294,484.638,173.151,-0.757444,-0.305224,0.854298,-0.310219,0.860845,0,0.00393677,0.00494385,-0.425781,-0.0380859,0.121155,-0.0157471,0,0,0,0,0
8424.824,0,255,2.89776,-2.31384,566.684,483.662,173.029,-1.24573,-0.305337,0.853495,-0.310212,0.860832,0,0.156525,0.157532,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.825,0,255,2.74517,-2.00866,566.684,483.662,173.029,-1.24573,-0.305337,0.853495,-0.310205,0.860819,0,0.156525,0.00494385,0.18457,0.206055,-0.000915527,0.106323,0,0,0,0,0
8424.826,0,255,2.59258,-2.31384,567.294,484.638,173.151,-1.12366,-0.305224,0.854298,-0.310198,0.860805,0,0.00393677,-0.300232,0.18457,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.827,0,255,2.43999,-2.46643,567.904,485.615,173.274,-0.879514,-0.30511,0.8551,-0.31019,0.860792,0,-0.148651,-0.147644,0.18457,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.828,0,255,2.2874,-3.07678,567.904,486.103,173.151,-0.391231,-0.304896,0.855959,-0.310183,0.860778,0,-0.148651,0.00494385,0.18457,0.450195,-0.122986,0.106323,0,0,0,0,0
8424.829,0,255,2.13482,-3.99231,567.904,486.347,173.274,-0.0250187,-0.30511,0.856389,-0.310176,0.860765,0,-0.148651,-0.147644,-0.120605,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.830,0,255,2.13482,-4.90784,567.599,486.347,173.151,0.341194,-0.305059,0.85685,-0.310168,0.860751,0,-0.148651,-0.147644,-0.120605,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.831,0,255,2.13482,-5.5182,567.294,486.103,173.151,0.585335,-0.305224,0.85688,-0.310161,0.860737,0,-0.301239,-0.147644,-0.120605,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.832,0,255,2.2874,-5.82337,566.989,485.371,173.151,0.585335,-0.305388,0.85605,-0.310153,0.860724,0,-0.301239,-0.147644,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.833,0,255,2.43999,-5.36561,566.989,484.882,173.151,0.463264,-0.305388,0.855189,-0.310145,0.86071,0,-0.148651,-0.147644,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.834,0,255,2.59258,-4.60266,566.684,484.638,173.029,0.219123,-0.305337,0.855218,-0.310137,0.860696,0,0.156525,0.00494385,0.18457,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.835,0,255,2.74517,-3.53455,566.989,484.638,173.029,-0.391231,-0.305173,0.854758,-0.310129,0.860683,0,0.156525,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
